,customer_id
3090,26f74a9c-a506-11e9-a2fc-000d3a38a36f
3120,27449e02-aa40-11e9-a2fc-000d3a38a36f
3133,275c65ee-9fa2-11e9-a2fc-000d3a38a36f
3146,278f89da-ac3e-11e9-a2fc-000d3a38a36f
3148,27a56e70-5428-11ea-b1db-000d3a38a36f
3150,27a7e4d8-ac59-11e9-a2fc-000d3a38a36f
3168,27fe792c-ac97-11e9-a2fc-000d3a38a36f
3175,280ab51c-5b37-11ea-b0de-000d3a38a36f
3181,2818eb98-ab5e-11e9-a2fc-000d3a38a36f
3210,289b9174-a5d2-11e9-a2fc-000d3a38a36f
3218,28b10672-5288-11ea-8850-000d3a38a36f
3248,29070f2a-24cc-11ea-bf27-000d3a38a36f
3271,2951e736-abc1-11e9-a2fc-000d3a38a36f
3284,2979dad2-150d-11eb-8ffc-000d3a38a36f
3359,2a87e59e-a9a3-11e9-a2fc-000d3a38a36f
3361,2a90b3be-abdc-11e9-a2fc-000d3a38a36f
3362,2a930b5c-a7ca-11e9-a2fc-000d3a38a36f
3398,2b029388-a0e9-11e9-a2fc-000d3a38a36f
3415,2b39c50a-26dc-11ea-aaaa-000d3a38a36f
3426,2b5a405c-2837-11eb-8a9b-000d3a38a36f
3435,2b75741c-abd3-11e9-a2fc-000d3a38a36f
3467,2bd6a228-56a0-11ea-b9b9-000d3a38a36f
3492,2c41e072-9ec9-11e9-9897-000d3a38a36f
3534,2cd0ffe8-b0e2-11e9-9757-000d3a38a36f
3535,2cd8ebd8-af55-11e9-a2fc-000d3a38a36f
3543,2cea511a-b1a9-11e9-89fa-000d3a38a36f
3564,2d31201c-1c3a-11ea-a490-000d3a38a36f
3578,2d604734-3dbe-11ea-9e19-000d3a38a36f
3586,2d76a8a0-a2e9-11e9-a2fc-000d3a38a36f
3587,2d7e6662-ab09-11e9-a2fc-000d3a38a36f
3611,2ddc3dd2-b018-11e9-9757-000d3a38a36f
3619,2dfd23f2-aa88-11e9-a2fc-000d3a38a36f
3630,2e145178-a806-11e9-a2fc-000d3a38a36f
3650,2e407372-5bcd-11ea-8076-000d3a38a36f
3661,2e58306c-9e71-11e9-9897-000d3a38a36f
3677,2e83af92-d88e-11e9-93bc-000d3a38a36f
3686,2e9cb658-a94b-11e9-a2fc-000d3a38a36f
3712,2ee8230e-63fe-11ea-a6dc-000d3a38a36f
3714,2efb877a-614f-11ea-8dd8-000d3a38a36f
3721,2f1154b6-1dba-11ea-8bf2-000d3a38a36f
3727,2f1d82e6-b018-11e9-9757-000d3a38a36f
3732,2f289068-9f6b-11e9-a2fc-000d3a38a36f
3752,2f68a382-a9c1-11e9-a2fc-000d3a38a36f
3761,2f791abe-afb6-11e9-9757-000d3a38a36f
3785,2fc6b4d0-acf6-11e9-a2fc-000d3a38a36f
3805,2ffe075c-9f7f-11e9-a2fc-000d3a38a36f
3816,301afb72-9f83-11eb-9c47-000d3a38a36f
3819,30267bb8-5449-11ea-b1db-000d3a38a36f
3825,303f9d82-1a60-11ea-941b-000d3a38a36f
3830,3042cf12-a71e-11e9-a2fc-000d3a38a36f
3832,30450770-b144-11e9-9757-000d3a38a36f
3864,30bb1726-9744-11ea-a9c8-000d3a38a36f
3888,30fcd0b4-b14c-11e9-9757-000d3a38a36f
3890,30ff7284-b19b-11e9-89fa-000d3a38a36f
3903,312a147c-94a7-11ea-85df-000d3a38a36f
3906,313d8a08-6d23-11ea-84a8-000d3a38a36f
3917,3182b77a-ab7e-11e9-a2fc-000d3a38a36f
3946,31e47bd2-5645-11ea-b9b9-000d3a38a36f
3960,3214b088-a392-11e9-a2fc-000d3a38a36f
3961,321989bc-b15e-11e9-89fa-000d3a38a36f
3965,3227e180-735d-11ea-92d0-000d3a38a36f
3995,328d2030-1fda-11ea-87bf-000d3a38a36f
3998,3291013a-2ba3-11ea-853d-000d3a38a36f
4002,3299d118-afc8-11e9-9757-000d3a38a36f
4004,32a1ab00-f5e4-11ea-a533-000d3a38a36f
4006,32a2ea58-47a0-11ea-b6c0-000d3a38a36f
4017,32c4c122-858a-11eb-8c46-000d3a38a36f
4019,32d8307e-1d6a-11ea-a490-000d3a38a36f
4031,3302af88-1866-11ea-9213-000d3a38a36f
4042,3323f94e-3a81-11ea-85d6-000d3a38a36f
4077,33aaee82-5b41-11ea-9536-000d3a38a36f
4094,33f9313e-752f-11ea-b23f-000d3a38a36f
4123,34516584-5b44-11ea-b9fa-000d3a38a36f
4130,346229cc-a547-11e9-a2fc-000d3a38a36f
4132,346719dc-b104-11e9-9757-000d3a38a36f
4136,34785c50-abf1-11e9-a2fc-000d3a38a36f
4137,3480e4fa-a26a-11e9-a2fc-000d3a38a36f
4151,34a469d2-1b39-11ea-a050-000d3a38a36f
4152,34ab4518-5bc1-11ea-8d35-000d3a38a36f
4163,34c9bebc-acf3-11e9-a2fc-000d3a38a36f
4174,34e9218a-a0e6-11e9-a2fc-000d3a38a36f
4178,34fcb55a-a92a-11e9-a2fc-000d3a38a36f
4190,352b1a7c-a802-11e9-a2fc-000d3a38a36f
4198,353c3624-a59e-11e9-a2fc-000d3a38a36f
4228,35b63ac2-b11b-11e9-9757-000d3a38a36f
4241,35e21cae-a6d6-11e9-a2fc-000d3a38a36f
4251,35f6825c-aeb5-11e9-a2fc-000d3a38a36f
4263,3622b598-1d78-11ea-a490-000d3a38a36f
4268,3636dbd6-acd0-11e9-a2fc-000d3a38a36f
4271,363db4a8-b196-11ea-b736-000d3a38a36f
4314,36d31778-a9e5-11e9-a2fc-000d3a38a36f
4328,36ec83f2-563d-11ea-b9b9-000d3a38a36f
4331,36f78dcc-f13b-11e9-9346-000d3a38a36f
4332,36f7a1f8-aab0-11e9-a2fc-000d3a38a36f
4333,36f8ecb2-48f1-11eb-806e-000d3a38a36f
4343,37132e7c-5272-11ea-956d-000d3a38a36f
4360,375774bc-a89d-11e9-a2fc-000d3a38a36f
4367,37753730-9b69-11ea-a27a-000d3a38a36f
4377,3788f270-9e85-11e9-9897-000d3a38a36f
4388,37a076e4-5bdf-11ea-9b5b-000d3a38a36f
4419,37fab206-5b23-11ea-9628-000d3a38a36f
4428,380ddc7c-9d92-11e9-9897-000d3a38a36f
4440,3828407e-f429-11e9-9346-000d3a38a36f
4442,3838982a-1030-11ea-9f17-000d3a38a36f
4451,3857a35a-1bde-11ea-ac4f-000d3a38a36f
4452,3857f174-b177-11e9-89fa-000d3a38a36f
4474,389044c6-2827-11ea-a043-000d3a38a36f
4486,38b13a7e-aaa9-11e9-a2fc-000d3a38a36f
4490,38b56878-a0f0-11e9-a2fc-000d3a38a36f
4495,38bf8e82-a1dd-11e9-a2fc-000d3a38a36f
4500,38c47aa4-a9ef-11e9-a2fc-000d3a38a36f
4502,38c9274a-127f-11ea-a001-000d3a38a36f
4518,38f04aae-fcd2-11e9-a5e8-000d3a38a36f
4522,390b0ac8-af03-11e9-a2fc-000d3a38a36f
4541,39528bbe-eeae-11ea-bb5a-000d3a38a36f
4553,398d5b60-2552-11eb-a59b-000d3a38a36f
4561,39968112-a3d1-11e9-a2fc-000d3a38a36f
4567,39a01c88-a834-11e9-a2fc-000d3a38a36f
4579,39bd5818-acdd-11e9-a2fc-000d3a38a36f
4585,39daee0a-b1dd-11e9-89fa-000d3a38a36f
4601,3a1c5af4-5ec9-11ea-be5b-000d3a38a36f
4609,3a2ec412-42f6-11ea-8b43-000d3a38a36f
4610,3a2ede22-a1af-11e9-a2fc-000d3a38a36f
4615,3a33ddc0-fe32-11e9-a5e8-000d3a38a36f
4622,3a42773c-5421-11ea-b1db-000d3a38a36f
4633,3a66e68c-a726-11ea-bd63-000d3a38a36f
4635,3a6d462c-b171-11e9-89fa-000d3a38a36f
4646,3a987888-9dc1-11e9-9897-000d3a38a36f
4647,3a9b8aa4-adfd-11e9-a2fc-000d3a38a36f
4655,3aad77da-5f2f-11ea-be5b-000d3a38a36f
4658,3ab77b10-85de-11ea-a90b-000d3a38a36f
4669,3adfc65a-44df-11ea-acaf-000d3a38a36f
4694,3b294f52-9d5d-11e9-9897-000d3a38a36f
4697,3b3269d4-afb4-11e9-9757-000d3a38a36f
4707,3b572bd6-a5d5-11e9-a2fc-000d3a38a36f
4733,3bb0d8ce-aacc-11e9-a2fc-000d3a38a36f
4735,3bb32cfa-2f2e-11ea-8467-000d3a38a36f
4739,3bc2abda-9f8c-11e9-a2fc-000d3a38a36f
4742,3bc89de2-1f34-11ea-87bf-000d3a38a36f
4747,3bdf9d9e-2d94-11ea-8e71-000d3a38a36f
4762,3c090008-ad29-11e9-a2fc-000d3a38a36f
4779,3c2bf93e-aeda-11e9-a2fc-000d3a38a36f
4784,3c389b14-5bd5-11ea-948e-000d3a38a36f
4795,3c52cad8-1f59-11ea-87bf-000d3a38a36f
4810,3c93895c-ab59-11e9-a2fc-000d3a38a36f
4825,3cd8715a-afc5-11e9-9757-000d3a38a36f
4834,3cec9dca-abc3-11e9-a2fc-000d3a38a36f
4856,3d2ff27e-ab3b-11e9-a2fc-000d3a38a36f
4929,3e3cc548-a942-11e9-a2fc-000d3a38a36f
4938,3e4e70fe-13e1-11ea-a001-000d3a38a36f
4969,3ed25996-edfd-11e9-9346-000d3a38a36f
4979,3ef6d7f6-1db6-11ea-8bf2-000d3a38a36f
5002,3f408e78-1262-11ea-a001-000d3a38a36f
5004,3f49cca8-fe22-11e9-a5e8-000d3a38a36f
5016,3f770230-a919-11e9-a2fc-000d3a38a36f
5024,3f93161a-26d0-11eb-8a9b-000d3a38a36f
5029,3fa416d6-9d79-11e9-9897-000d3a38a36f
5044,3fecbd3c-a59e-11e9-a2fc-000d3a38a36f
5085,409ed1f2-ab52-11e9-a2fc-000d3a38a36f
5086,409f9a4c-9e2d-11e9-9897-000d3a38a36f
5088,40b4f318-9dfb-11eb-9c47-000d3a38a36f
5097,40c8bd74-9f5d-11e9-a2fc-000d3a38a36f
5107,40dda43a-2060-11ea-87bf-000d3a38a36f
5157,415e400e-76a5-11ea-b23f-000d3a38a36f
5163,41761074-a8d5-11e9-a2fc-000d3a38a36f
5169,41850336-ff29-11e9-a5e8-000d3a38a36f
5191,41e0f9a2-e5ed-11e9-ad00-000d3a38a36f
5229,42681860-18d3-11ea-9213-000d3a38a36f
5232,426b497e-f149-11e9-9346-000d3a38a36f
5262,42dd039c-a884-11e9-a2fc-000d3a38a36f
5276,4310677e-a5db-11e9-a2fc-000d3a38a36f
5285,43310aa4-ac27-11e9-a2fc-000d3a38a36f
5300,436ed710-acc4-11e9-a2fc-000d3a38a36f
